FSA,Number of Restaurants,Number of Minor Infractions,Number of Significant Infractions,Number of Crucial Infractions,Total COVID-19 Cases per 100 people,Total COVID-19 Hospitalizations per 1000 people,Total COVID-19 Deaths per 1000 people,Population,Percent With At Least 1 Dose,Percent With 2 Doses
M1B,183,151,62,14,7.10501150138275,4.3291721589,0.85291152981314,66108,0.796,0.7669
M1C,83,32,27,11,4.61519786355912,3.0104394270454,0.53411022092741,35626,0.8424,0.8056
M1E,169,54,35,7,5.60487443273247,4.19461570449656,0.7955305646459,46943,0.7847,0.7485
M1G,63,19,25,14,7.24343871568681,4.90384088543094,1.12322612459591,29690,0.8698,0.8284
M1H,195,108,86,41,6.13624015213257,4.17685411572942,1.15457756044553,24383,0.8132,0.7803
M1J,136,70,43,12,7.21447401031927,5.29482008877273,1.14908861501025,36699,0.7762,0.7375
M1K,167,129,77,32,6.06169113509643,4.39920200521766,0.8355073575801,48434,0.7917,0.7568
M1L,243,89,48,18,5.7558358433735,3.55327560240964,0.49416415662651,35081,0.7947,0.7503
M1M,74,34,10,2,5.20641016173104,4.57868695074219,1.1815966324496,22913,0.8108,0.7763
M1N,86,58,19,4,2.98844313008288,2.56819331491498,0.46694423907545,22136,0.8194,0.7766
M1P,271,141,85,25,6.01702209046572,4.36071531031845,0.86066749545759,45571,0.8094,0.7739
M1R,199,138,90,25,5.86472008659691,4.38535624080602,0.97143967359627,29858,0.7838,0.7485
M1S,326,266,136,60,3.81934391911454,2.71696768590072,0.51221521947309,37769,0.8594,0.833
M1T,147,71,50,20,4.57310370098938,3.78649077806278,0.97715891046781,34588,0.8015,0.7714
M1V,357,286,202,53,3.97150632303506,3.20153673763407,0.73635344965583,54680,0.8489,0.8282
M1W,111,80,51,13,4.2477472739385,3.68149784369412,0.91160898986712,48471,0.8265,0.8002
M1X,50,64,24,14,8.43970822885799,4.72988374743561,1.02575792113061,15097,0.8282,0.8023
M2H,79,54,25,14,2.54279541299651,2.32674090078112,0.49858733588167,24497,0.805,0.7748
M2J,187,128,38,4,3.86633453466186,2.91498834004664,0.54324782700869,58293,0.7967,0.7611
M2K,62,20,25,0,2.35043446416087,1.83107500749076,0.33292272863468,23852,0.8611,0.831
M2L,26,25,10,1,2.89297420550093,2.85022089211914,0.57004417842383,11717,0.8033,0.7614
M2M,127,84,39,3,3.82395026397592,3.60191444219667,0.98682587457443,32320,0.8423,0.8107
M2N,403,352,194,21,2.20662951514049,1.55095142847975,0.31019028569595,75897,0.8019,0.7676
M2P,20,9,2,0,2.16805091144429,1.40222198252616,-1.0,7843,0.8003,0.7617
M2R,71,32,25,4,7.29118411246954,5.19647928457774,0.96678684364237,40792,0.766,0.7318
M3A,76,15,7,1,4.75971543338334,3.60547839132749,0.75013308812854,34615,0.7662,0.7285
M3B,118,70,18,2,1.92789666473877,1.22100122100122,-1.0,13324,0.8159,0.7763
M3C,151,88,50,8,5.8976129207724,4.14234607418565,1.31801920542271,39153,0.7663,0.7267
M3H,135,120,61,9,5.98452585341925,4.45940823652701,1.36011951214074,37011,0.798,0.7511
M3J,304,248,72,17,8.07363298370765,5.3501798506786,0.87658313937672,25473,0.8721,0.8318
M3K,146,66,39,2,8.41310958441266,4.84288771258025,0.67575177384841,5997,0.8402,0.7971
M3L,83,91,25,8,10.4556333658364,8.06666075702509,1.81721478592323,17339,0.8007,0.7593
M3M,82,69,41,13,8.95703395703396,6.68745668745669,1.24740124740125,24046,0.7842,0.7449
